client_id,Variation
8876250,Control
861868,Control
4701250,Control
9937975,Control
8055629,Control
218903,Control
2952186,Control
3720127,Control
2195967,Control
1346930,Control
4244465,Control
1213731,Control
761733,Control
7783740,Control
8087904,Control
6770720,Control
3362285,Control
1787893,Control
6499575,Control
8605475,Control
8482912,Control
3357999,Control
9771204,Control
623101,Control
1430839,Control
9928657,Control
7732650,Control
2580200,Control
9045790,Control
6885985,Control
7926426,Control
5890995,Control
7266777,Control
460505,Control
6796201,Control
1996689,Control
5554678,Control
4438069,Control
3500934,Control
2365141,Control
6862397,Control
8942980,Control
5114108,Control
351093,Control
126171,Control
2791866,Control
6888356,Control
1356002,Control
3806065,Control
5007915,Control
5194608,Control
3466478,Control
4561584,Control
9577370,Control
1410425,Control
5749929,Control
4702480,Control
364039,Control
3830629,Control
5971471,Control
2466307,Control
3399237,Control
5977906,Control
918500,Control
3647,Control
2058971,Control
619342,Control
5430280,Control
1225544,Control
9403797,Control
4282258,Control
2559643,Control
1332220,Control
6768889,Control
2747302,Control
5204398,Control
6351585,Control
5105149,Control
1279440,Control
5742686,Control
3798807,Control
2689442,Control
847857,Control
6382317,Control
7825997,Control
9245893,Control
5612493,Control
1650908,Control
6615461,Control
9331765,Control
9568221,Control
492655,Control
694766,Control
29595,Control
6739923,Control
2695688,Control
517259,Control
4275135,Control
4723532,Control
4829849,Control
1901368,Control
5433338,Control
2652105,Control
1260052,Control
5777346,Control
7366477,Control
9189058,Control
3233686,Control
6125341,Control
6213231,Control
8486666,Control
2629116,Control
6435836,Control
6544888,Control
4190539,Control
3750841,Control
3950663,Control
3700826,Control
6029258,Control
2020501,Control
4589552,Control
9061056,Control
8160451,Control
3751050,Control
4569203,Control
6777869,Control
8889840,Control
3831678,Control
2820987,Control
3885331,Control
2493350,Control
7463154,Control
1239722,Control
7122374,Control
5149271,Control
5145224,Control
6727416,Control
5800745,Control
1939550,Control
3307527,Control
4476742,Control
888529,Control
4230817,Control
1352216,Control
8442245,Control
8040332,Control
43766,Control
460912,Control
1484467,Control
8290239,Control
8402909,Control
1731140,Control
4054538,Control
1146114,Control
7080124,Control
9004289,Control
8159840,Control
1672032,Control
7928596,Control
6000156,Control
9970264,Control
4647580,Control
7167518,Control
168940,Control
7390660,Control
2403493,Control
1633376,Control
136986,Control
8829649,Control
3398321,Control
4519913,Control
4063405,Control
6232074,Control
9937269,Control
6047255,Control
7337867,Control
1113765,Control
1361156,Control
25766,Control
6707552,Control
7484370,Control
7539703,Control
2888690,Control
468552,Control
6516253,Control
2346970,Control
892794,Control
9118111,Control
3701316,Control
451019,Control
1557790,Control
465367,Control
2129448,Control
208722,Control
5700388,Control
8315431,Control
1649221,Control
2120119,Control
5194510,Control
3334550,Control
4916223,Control
6888629,Control
861392,Control
1113707,Control
3141257,Control
8525803,Control
6949770,Control
128983,Control
6227816,Control
2504179,Control
4740322,Control
3662912,Control
669111,Control
3307754,Control
9342924,Control
8152115,Control
9103512,Control
6058024,Control
8673902,Control
6224380,Control
5742352,Control
6156362,Control
9406349,Control
6701737,Control
8530901,Control
8865699,Control
5548724,Control
2813653,Control
5638347,Control
1781226,Control
1221967,Control
9575481,Control
7663095,Control
8553099,Control
7968992,Control
157852,Control
27021,Control
3443827,Control
5763299,Control
9289178,Control
6997825,Control
7019864,Control
6433377,Control
3608206,Control
2395006,Control
8331742,Control
2395779,Control
518097,Control
8170337,Control
6997573,Control
8448636,Control
2734383,Control
1873829,Control
5488621,Control
126090,Control
6355166,Control
1946236,Control
191749,Control
4937056,Control
8315689,Control
7656799,Control
7816047,Control
3940649,Control
8124451,Control
4253705,Control
8042778,Control
5788539,Control
7872884,Control
3145003,Control
7009981,Control
7598836,Control
6598485,Control
50692,Control
7190064,Control
1887639,Control
1869973,Control
2931057,Control
4901308,Control
7698174,Control
1855398,Control
7058363,Control
5141165,Control
8064588,Control
6565725,Control
2831452,Control
672484,Control
3116584,Control
9681771,Control
1507359,Control
7723642,Control
5077676,Control
7062479,Control
6864754,Control
3510532,Control
9025077,Control
9436371,Control
9552319,Control
9856717,Control
7320878,Control
9281398,Control
5864399,Control
5249755,Control
9191139,Control
6685352,Control
6427730,Control
6879669,Control
1827406,Control
4371606,Control
8471139,Control
1906211,Control
4696610,Control
4744151,Control
5749834,Control
4345846,Control
4715511,Control
1183663,Control
6275547,Control
590121,Control
179489,Control
5578646,Control
3965494,Control
5647732,Control
9273012,Control
9386447,Control
4533691,Control
400621,Control
133631,Control
7933700,Control
1548295,Control
9398460,Control
3574698,Control
3979917,Control
8483908,Control
1133006,Control
1029502,Control
6144296,Control
2422177,Control
9543769,Control
3564724,Control
9441561,Control
2785779,Control
5707612,Control
1709923,Control
1075613,Control
3742706,Control
7985391,Control
5915017,Control
7056998,Control
7359857,Control
682367,Control
6351678,Control
2863360,Control
4520299,Control
7952920,Control
614978,Control
450614,Control
7305586,Control
7391082,Control
6504585,Control
7533358,Control
1741236,Control
3941526,Control
9468174,Control
8606507,Control
8517544,Control
1366802,Control
4177841,Control
1265437,Control
1110622,Control
6576648,Control
4885405,Control
8737107,Control
7294595,Control
3736324,Control
5244585,Control
6336914,Control
3283879,Control
2613840,Control
2075007,Control
7098405,Control
3730736,Control
9282426,Control
5079615,Control
6298404,Control
5258269,Control
3168385,Control
7577463,Control
2288638,Control
568159,Control
1991963,Control
4139631,Control
7343199,Control
2067466,Control
8700218,Control
8095818,Control
3181060,Control
7872084,Control
9161780,Control
2788033,Control
9256349,Control
1303379,Control
6710265,Control
5997731,Control
2500352,Control
7418794,Control
675167,Control
5939099,Control
9152586,Control
1420660,Control
6725918,Control
3476892,Control
727016,Control
1139805,Control
6871269,Control
9824309,Control
5851688,Control
7145486,Control
9744503,Control
1195,Control
5880385,Control
9379016,Control
1919346,Control
3728532,Control
7211752,Control
951910,Control
8791189,Control
277875,Control
6731654,Control
1035115,Control
6311942,Control
6472361,Control
835985,Control
8161704,Control
9362919,Control
7565793,Control
9709813,Control
6283380,Control
666049,Control
9152344,Control
9730777,Control
8783587,Control
4145904,Control
4257130,Control
9163836,Control
9107799,Control
8715267,Control
8273085,Control
1927544,Control
8761665,Control
7574065,Control
6866442,Control
5951127,Control
3252191,Control
1240190,Control
1159819,Control
4625714,Control
1698311,Control
5865037,Control
7717237,Control
6634826,Control
9627002,Control
1616184,Control
4023983,Control
3739438,Control
51814,Control
6972505,Control
3274136,Control
9034572,Control
1588483,Control
3882881,Control
9673536,Control
5696039,Control
9220017,Control
4179288,Control
4952273,Control
9799728,Control
4382517,Control
9976102,Control
3451071,Control
3683394,Control
3689957,Control
7306047,Control
9119907,Control
528496,Control
7763597,Control
6531629,Control
1130170,Control
8596299,Control
9387746,Control
5552661,Control
9267234,Control
649643,Control
7042897,Control
6717435,Control
2992443,Control
9502210,Control
4822934,Control
8671792,Control
2931528,Control
4814310,Control
1221160,Control
9479474,Control
4119087,Control
7355972,Control
9577290,Control
2203401,Control
160616,Control
1163998,Control
4727272,Control
8412223,Control
5300098,Control
8365378,Control
5625527,Control
3671973,Control
4739615,Control
9013993,Control
7662927,Control
2050885,Control
6535723,Control
4864139,Control
1019589,Control
5952641,Control
5433522,Control
9305815,Control
868443,Control
653514,Control
7379141,Control
5820328,Control
2866912,Control
416876,Control
8537968,Control
5156720,Control
5794987,Control
9812753,Control
7728720,Control
8178009,Control
3351420,Control
6773877,Control
5687007,Control
5970242,Control
1346799,Control
976546,Control
2000326,Control
4910229,Control
3271713,Control
806546,Control
8015112,Control
5275149,Control
9439343,Control
1266731,Control
4699938,Control
2795570,Control
4468780,Control
8728746,Control
5182958,Control
7071370,Control
5117722,Control
325301,Control
1608093,Control
2725837,Control
3675878,Control
8072602,Control
2170845,Control
9944156,Control
7365634,Control
2165764,Control
904844,Control
3902353,Control
3576276,Control
7495691,Control
9255104,Control
4449433,Control
7913947,Control
8052520,Control
6549914,Control
3450870,Control
1148502,Control
5114480,Control
1913649,Control
8385830,Control
2001189,Control
6103015,Control
2570380,Control
287737,Control
4805558,Control
4967237,Control
4359763,Control
7006564,Control
6618281,Control
1384451,Control
4864043,Control
7175242,Control
9994407,Control
6260467,Control
6917276,Control
6052976,Control
1915796,Control
6854608,Control
9851327,Control
6142623,Control
8062247,Control
2604064,Control
7323516,Control
3909705,Control
7850280,Control
5894785,Control
1704369,Control
7395578,Control
7353047,Control
178853,Control
8374114,Control
644419,Control
2813719,Control
2846646,Control
9358241,Control
6686652,Control
4421378,Control
3797711,Control
4711787,Control
3313640,Control
9488244,Control
5896881,Control
6678628,Control
9542549,Control
9505917,Control
2523295,Control
7192131,Control
8826443,Control
8593784,Control
9739317,Control
5552032,Control
4860123,Control
9839402,Control
2472691,Control
4806778,Control
7176508,Control
7181488,Control
3934723,Control
8823843,Control
4157037,Control
4789802,Control
9450242,Control
8737272,Control
1433566,Control
8544346,Control
4722893,Control
8222962,Control
4526579,Control
1472853,Control
3781719,Control
4675073,Control
4933712,Control
5807332,Control
4221338,Control
1194972,Control
6893118,Control
1794890,Control
1536089,Control
9745379,Control
5821350,Control
6537109,Control
8793646,Control
9517859,Control
3007459,Control
9165808,Control
5765540,Control
4646536,Control
7742323,Control
9899911,Control
9869094,Control
9997391,Control
5452128,Control
8199837,Control
1891378,Control
7992906,Control
8056722,Control
2102012,Control
4034516,Control
7255648,Control
2385412,Control
173784,Control
4723605,Control
937927,Control
7810283,Control
1335100,Control
5512916,Control
6097581,Control
2581399,Control
5498929,Control
27241,Control
9948160,Control
9247136,Control
2838107,Control
7689327,Control
1689862,Control
2026557,Control
5883955,Control
9945309,Control
8557304,Control
4026139,Control
2858768,Control
3115591,Control
5665278,Control
4859191,Control
347076,Control
8755578,Control
2621982,Control
3087957,Control
6747431,Control
8699444,Control
8509607,Control
3905654,Control
8571229,Control
3794106,Control
956435,Control
1634020,Control
8063400,Control
4441240,Control
2465241,Control
8203675,Control
8837888,Control
4602276,Control
3149390,Control
8083759,Control
8794256,Control
4246419,Control
4958726,Control
3009921,Control
6830216,Control
1463931,Control
1245483,Control
8406972,Control
3278460,Control
490297,Control
2414386,Control
3449388,Control
97322,Control
447494,Control
322174,Control
8747032,Control
9936134,Control
9528790,Control
7830819,Control
9615396,Control
9273923,Control
7007284,Control
5937094,Control
6610470,Control
8102225,Control
5986260,Control
690874,Control
9213240,Control
6842137,Control
4947069,Control
9568973,Control
5707180,Control
1126971,Control
6100621,Control
7271110,Control
1794745,Control
5002060,Control
917338,Control
5107877,Control
9414732,Control
5148031,Control
7432524,Control
3629514,Control
6630645,Control
5253882,Control
3562906,Control
2475916,Control
9454300,Control
6460756,Control
1617973,Control
8381023,Control
2974446,Control
3214949,Control
7141861,Control
5146401,Control
9630926,Control
2962779,Control
1682543,Control
4746492,Control
4155983,Control
5923022,Control
191373,Control
3640937,Control
6461412,Control
6394395,Control
1885569,Control
3123566,Control
3323753,Control
1592419,Control
8808704,Control
2573038,Control
1969160,Control
3278160,Control
1438266,Control
5582298,Control
7178945,Control
9331760,Control
9516012,Control
700784,Control
5039627,Control
8864425,Control
1270030,Control
4952168,Control
6474909,Control
1298895,Control
3840858,Control
9199824,Control
7685503,Control
8310955,Control
9493430,Control
9141642,Control
5411676,Control
4174800,Control
2990600,Control
5931801,Control
540970,Control
2947829,Control
7536655,Control
9760675,Control
4993511,Control
9098405,Control
8514205,Control
4133405,Control
639779,Control
24079,Control
2918665,Control
3842338,Control
360872,Control
5401815,Control
9917115,Control
7705056,Control
6900644,Control
286117,Control
8538565,Control
4658967,Control
5477996,Control
5159617,Control
4372327,Control
3598499,Control
6871417,Control
1969696,Control
9120871,Control
8375740,Control
7506104,Control
3675237,Control
1806584,Control
7395738,Control
1223307,Control
6501980,Control
6095271,Control
9838801,Control
8826775,Control
198773,Control
904711,Control
2451899,Control
8051768,Control
5076403,Control
6512809,Control
6279810,Control
8212764,Control
5727076,Control
2791546,Control
7067317,Control
4604208,Control
71626,Control
6328967,Control
2610417,Control
6705192,Control
2382409,Control
7679428,Control
8790044,Control
4876761,Control
7133081,Control
8023221,Control
1817013,Control
8172442,Control
5831505,Control
4474245,Control
6090460,Control
6808844,Control
4501253,Control
3648823,Control
8850142,Control
3414059,Control
3685506,Control
9747532,Control
467367,Control
626254,Control
9549111,Control
2325224,Control
1619073,Control
2678849,Control
7274590,Control
2512034,Control
1038683,Control
3975000,Control
4304665,Control
4043662,Control
4172424,Control
7201928,Control
427194,Control
3507472,Control
190197,Control
4113740,Control
4042775,Control
2360532,Control
185553,Control
2509051,Control
9974438,Control
5306811,Control
3597994,Control
7910948,Control
4515989,Control
2041757,Control
9941169,Control
1473265,Control
1978167,Control
4285798,Control
9094877,Control
6767899,Control
8974887,Control
8673328,Control
9748092,Control
3275639,Control
7272223,Control
6388263,Control
9234878,Control
3376865,Control
591595,Control
1838909,Control
2615381,Control
1969515,Control
196675,Control
4085599,Control
3000430,Control
7319663,Control
5038499,Control
9134161,Control
4469087,Control
9073501,Control
6541273,Control
6774658,Control
337729,Control
1817759,Control
6764551,Control
9238028,Control
1651429,Control
7139930,Control
3663962,Control
4087259,Control
4119989,Control
2512607,Control
9343396,Control
6876030,Control
7192737,Control
3467900,Control
5668555,Control
2945669,Control
855556,Control
6962526,Control
8128770,Control
64871,Control
8554834,Control
2100717,Control
4107255,Control
6232040,Control
2226956,Control
2016971,Control
8762174,Control
3258618,Control
8627548,Control
8542524,Control
762846,Control
